,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
11,2015-09-01,228.121002,"1,114.60",103.6137,0.00884,189.1,5.0,0.14,45.06,0.64,2.1728571428571426,602.7,3146.2,4636.1,1913.9,466.5,263.0,429.1,578.6,474.0,792.1,304.3,648.1,142.8,208.5,170.1,1.7,5.4
12,2015-10-01,237.548996,"1,142.00",102.6589,0.12762,187.5,5.0,0.12,46.6,0.75,2.07,662.5,3085.4,4627.1,1923.8,451.6,253.6,431.0,593.7,484.8,772.9,305.7,663.3,140.1,217.2,177.7,1.7,6.0
13,2015-11-01,325.431,"1,064.02",104.3576,0.43632,185.7,5.1,0.12,40.43,0.94,2.263157894736842,677.1,3193.6,5053.7,2079.4,502.1,284.6,471.2,642.3,512.2,825.0,324.0,734.3,149.4,222.1,188.9,2.1,7.1
14,2015-12-01,362.488007,"1,060.91",105.1564,0.63872,183.5,5.0,0.24,37.13,1.06,2.2427272727272727,663.5,3312.0,5156.3,2102.6,501.8,288.4,476.8,646.5,509.8,834.2,333.7,746.8,148.0,217.7,190.1,2.3,8.2
15,2016-01-01,434.334015,"1,117.64",107.4507,1.2375,182.6,4.8,0.34,33.66,0.76,2.0852631578947367,613.7,3103.2,5007.4,2043.9,448.4,273.6,463.5,621.0,518.4,833.2,321.7,721.5,149.9,220.0,190.2,2.9,8.2
16,2016-02-01,373.056,"1,237.76",106.1185,0.84728,181.3,4.9,0.38,32.74,0.78,1.7795,622.1,3248.4,4620.4,1939.4,426.5,245.6,435.2,591.7,521.9,769.8,291.2,687.5,159.6,233.2,181.7,2.1,7.3
17,2016-03-01,435.122986,"1,231.95",103.9727,0.89162,182.1,5.0,0.36,36.94,0.73,1.8890909090909087,676.9,3356.8,4689.6,1978.4,432.9,269.2,460.9,605.7,526.5,780.4,293.7,696.4,164.6,232.8,184.2,2.2,8.2
18,2016-04-01,417.959991,"1,293.36",102.4939,1.17263,183.2,5.1,0.37,45.98,0.77,1.8052380952380953,645.3,3306.9,4914.5,2072.8,456.0,283.7,484.4,631.6,550.4,793.8,306.2,743.5,172.2,252.9,197.6,2.8,9.0
19,2016-05-01,451.875,"1,214.69",103.5629,1.07848,185.3,4.8,0.37,49.1,0.87,1.806190476190476,699.4,3345.8,4775.4,2065.3,502.4,295.6,487.6,628.8,535.6,806.3,313.6,696.8,167.1,245.8,192.7,3.6,8.9
20,2016-06-01,536.919983,"1,321.78",104.0124,1.07929,187.6,4.9,0.38,48.27,0.58,1.6440909090909093,691.7,3354.4,4952.3,2099.3,497.3,294.8,483.8,627.9,543.1,825.5,320.2,731.7,165.4,249.0,194.9,4.4,11.7
21,2016-07-01,676.296021,"1,350.59",104.6885,0.86836,187.7,4.8,0.39,41.54,0.67,1.504,766.8,3291.5,4862.6,2103.0,514.8,290.8,489.3,625.9,563.3,834.2,306.8,714.0,183.9,266.6,206.6,5.1,11.7
22,2016-08-01,606.271973,"1,308.45",103.8655,1.05532,186.6,4.9,0.4,44.68,0.8,1.556521739130435,801.5,3465.2,5184.2,2170.8,485.5,303.3,503.3,648.6,560.7,874.9,318.1,771.8,180.9,264.7,213.7,6.6,14.2
